family	order	class	phylum	superkingdom
Acanthopleuribacteraceae	Acanthopleuribacterales	Holophagae	Acidobacteria	Bacteria
Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria
Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Acidiferrobacteraceae	Acidiferrobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Acidimicrobiaceae	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
Acidothermaceae	Acidothermales	Actinobacteria	Actinobacteria	Bacteria
Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Alicyclobacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Anaerolineaceae	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria
Anaeromyxobacteraceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Anaeroplasmataceae	Anaeroplasmatales	Mollicutes	Tenericutes	Bacteria
Aphanothecaceae	Chroococcales		Cyanobacteria	Bacteria
Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Ardenticatenaceae	Ardenticatenales	Ardenticatenia	Chloroflexi	Bacteria
Armatimonadaceae	Armatimonadales	Armatimonadia	Armatimonadetes	Bacteria
Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Azonexaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacteriovoracaceae	Bacteriovoracales	Oligoflexia	Proteobacteria	Bacteria
Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Baekduiaceae	Rubrobacterales	Rubrobacteria	Actinobacteria	Bacteria
Balneolaceae	Balneolales	Balneolia	Balneolaeota	Bacteria
Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bartonellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Bdellovibrionaceae	Bdellovibrionales	Oligoflexia	Proteobacteria	Bacteria
Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Beutenbergiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Blastocatellaceae	Blastocatellales	Blastocatellia	Acidobacteria	Bacteria
Bradymonadaceae	Bradymonadales	Deltaproteobacteria	Proteobacteria	Bacteria
